track_id,track_name,artists,album_name,album_id
02BcXEH1zJYbXSabPtNlKf,Lose My Mind (feat. Doja Cat) [From F1® The Movie],"Don Toliver, Doja Cat, F1 The Album",Lose My Mind (feat. Doja Cat) [From F1® The Movie],157Gano57F4G2EAWL5NKP8
6JB0h4leDJ4Akabtu42Epd,Tere Pyar Main,Kaavish,Gunkali (Original Score),1lCyYMOz15QK4vhcUxHxEW
4E2fOeF5A6onC10OtnjXJa,Trae The Truth in Ibiza,J. Cole,Might Delete Later,57wh3BpvUF2tmvwoGSjUe3
6f5ExP43esnvdKPddwKXJH,Better Days (NEIKED x Mae Muller x Polo G),"NEIKED, Mae Muller, Polo G",Better Days (NEIKED x Mae Muller x Polo G),2wcv0lHk5fUYyNGKugGa7q
1au2UduxcvHfa0fZS3Szci,Lavender Sunflower,Tory Lanez,Alone At Prom,5Gm2XKBgnlzd6qTi7LE1z2
2q8rYQmDCRdJlv0efz5K0n,Baat Unkahi,"Kaavish, Samra Khan",Baat Unkahi,51YBYjJFoQGNF7jcLIap73
4s7QLoImIwmPi9L6dq1nVW,TSU,Drake,Certified Lover Boy,3SpBlxme9WbeQdI9kx7KAV
1Is8hGpkGMiePASAxBluxM,16,Baby Keem,The Melodic Blue,3r46DPIQeBQbjvjjV5mXGg
2PLOCIYlFr8XxNsz0Lgs4l,Ballad of a Badman,Tory Lanez,Alone At Prom,5Gm2XKBgnlzd6qTi7LE1z2
1UGD3lW3tDmgZfAVDh6w7r,Devil In A New Dress,"Kanye West, Rick Ross",My Beautiful Dark Twisted Fantasy,20r762YmB5HeofjMCiPMLv
0c0YHn3DIQLl1opsQDd9kO,Wish (feat. Trippie Redd) - Trippie Mix,"Diplo, Trippie Redd",LIFE'S A TRIP,13rZDYWdAeJumf6UYYBdcL
0w3Mfe4PIVjuFjJbe3OlYv,8am in Charlotte,Drake,For All The Dogs,4czdORdCWP9umpbhFXK2fW
7mSNtdW0ibJwhaoI2y6RAv,All Life Long,Juice WRLD,Legends Never Die (5 Year Anniversary Edition),5BabrsTZzvGJQgrAfLMM18
6luBKkFUt5wTwz7hpLhp12,drive ME crazy!,"Lil Yachty, Diana Gordon",Let’s Start Here.,6Per97deaWqrJlKQNX8RGK
6soRqi7x53yQINVVnwK0GU,Bachpan,Kaavish,Gunkali (Original Score),1lCyYMOz15QK4vhcUxHxEW
2RENe9Xpqlvksidk1OusaL,He Dont Deserve You,AmiiFy,He Dont Deserve You,1VjwYXYIzE8R70EmluKJYD
3woRy7uxzl1lO2XO99oHsN,The Man Who Has Everything,Chance the Rapper,The Man Who Has Everything,3oa90TbTT5bJwCUJ5fDmvu
6YNl1rXbhKvmbMrw9cp3RQ,Faasle,"Kaavish, Quratulain Balouch",Coke Studio Season 10: Episode 2,0WJn9oPJOjaZenZ4OVQEgy
